19.246	19.745	0	0
19.745	20.423	0	0
20.423	20.852	0	0
20.852	21.257	1	21.634
21.634	22.82	0	0
22.82	23.266	0	0
23.266	23.689	1	24.036
24.036	24.614	0	0
24.614	25.523	0	0
25.523	26.406	0	0
26.406	26.689	1	26.975
26.975	27.436	0	0
27.436	28	0	0
28	28.423	1	28.762
28.762	29.934	0	0
29.934	30.822	1	31.184
31.184	31.63402	0	0
31.634	32.314	0	0
32.314	32.694	0	0
32.703	33.193	1	33.493
33.493	34.752	0	0
34.752	35.617	0	0
35.617	35.963	0	0
35.963	36.236	1	36.558
36.558	37.399	1	37.683
37.683	37.85	0	0
37.85	38.604	1	38.858
38.858	40.036	0	0
40.036	40.37	1	40.702
40.702	41.141	0	0
41.141	42.452	0	0
42.452	43.055	0	0
43.055	43.61	1	43.913
43.913	44.262	0	0
44.262	44.445	0	0
44.445	44.794	0	0
44.794	45.172	0	0
45.172	45.438	0	0
45.438	46.95	0	0
			
